"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1344","Проверка клика по кнопке ""показать"", подсвечивающая пароль","tests","Fri May 09 16:01:00 MSK 2025","passed","Fri May 09 16:01:01 MSK 2025","TestLoginPage","test_login_page","",""
"","90","Проверка перехода на страницу восстановления пароля по кнопке ""Восстановить пароль""","tests","Fri May 09 16:00:46 MSK 2025","passed","Fri May 09 16:00:46 MSK 2025","TestLoginPage","test_login_page","",""
"","1658","Проверка выхода из аккаунта по кнопке ""Выход""","tests","Fri May 09 16:02:35 MSK 2025","passed","Fri May 09 16:02:37 MSK 2025","TestProfile","test_profile_page","",""
"","868","Проверка увеличения каунтера ингредиента при добавлении его в заказ","tests","Fri May 09 16:00:33 MSK 2025","passed","Fri May 09 16:00:33 MSK 2025","TestHomePage","test_home_page","",""
"","117","Проверка перехода по клику в ""Конструктор""","tests","Fri May 09 16:00:05 MSK 2025","passed","Fri May 09 16:00:06 MSK 2025","TestHomePage","test_home_page","",""
"","9497","Проверка увеличение счётчика ""Выполнено за сегодня"" после заказа","tests","Fri May 09 16:01:47 MSK 2025","passed","Fri May 09 16:01:56 MSK 2025","TestOrdersFeed","test_orders_feed","",""
"","665","Проверка закрытия окна ""Детали ингредиента""","tests","Fri May 09 16:00:26 MSK 2025","passed","Fri May 09 16:00:27 MSK 2025","TestHomePage","test_home_page","",""
"","2257","Проверка ввода почты и клик по кнопке ""Восстановить""","tests","Fri May 09 16:00:52 MSK 2025","passed","Fri May 09 16:00:54 MSK 2025","TestLoginPage","test_login_page","",""
"","1419","Проверка оформления заказа под авторизованным пользователем","tests","Fri May 09 16:00:39 MSK 2025","passed","Fri May 09 16:00:41 MSK 2025","TestHomePage","test_home_page","",""
"","1112","Проверка перехода по клику в ""Лента заказов""","tests","Fri May 09 16:00:12 MSK 2025","passed","Fri May 09 16:00:13 MSK 2025","TestHomePage","test_home_page","",""
"","6457","Проверка увеличение счётчика ""Выполнено за всё время"" после заказа","tests","Fri May 09 16:01:33 MSK 2025","passed","Fri May 09 16:01:40 MSK 2025","TestOrdersFeed","test_orders_feed","",""
"","98","Проверка всплывающего окна ""Детали ингредиента""","tests","Fri May 09 16:00:19 MSK 2025","passed","Fri May 09 16:00:19 MSK 2025","TestHomePage","test_home_page","",""
"","1668","Проверка перехода в ""История заказов""","tests","Fri May 09 16:02:27 MSK 2025","passed","Fri May 09 16:02:29 MSK 2025","TestProfile","test_profile_page","",""
"","4028","Проверка отображения заказа из раздела ""История заказов"" на странице ""Лента заказов""","tests","Fri May 09 16:01:23 MSK 2025","passed","Fri May 09 16:01:27 MSK 2025","TestOrdersFeed","test_orders_feed","",""
"","10892","Проверка отображения заказа в ""В работе","tests","Fri May 09 16:02:02 MSK 2025","passed","Fri May 09 16:02:13 MSK 2025","TestOrdersFeed","test_orders_feed","",""
"","1187","Проверка открытия информации о заказе по клику на кнопку заказа","tests","Fri May 09 16:01:07 MSK 2025","passed","Fri May 09 16:01:09 MSK 2025","TestOrdersFeed","test_orders_feed","",""
"","577","Проверка перехода в ""Личный кабинет""","tests","Fri May 09 16:02:20 MSK 2025","passed","Fri May 09 16:02:20 MSK 2025","TestProfile","test_profile_page","",""
